accession	TF	annotationSource	description	#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species
ENCFF522XXJ	pnt	directAnnotation	gene is directly annotated	ENCFF522XXJ	ENCFF522XXJ	ENCFF522XXJ	chip	2.0	pnt	0	None	None	1	None	None
ENCFF355QJK	pnt	directAnnotation	gene is directly annotated	ENCFF355QJK	ENCFF355QJK	ENCFF355QJK	chip	2.0	pnt	0	None	None	1	None	None
ENCFF963FLO	pnt	directAnnotation	gene is directly annotated	ENCFF963FLO	ENCFF963FLO	ENCFF963FLO	chip	2.0	pnt	0	None	None	1	None	None
ENCFF013PDC	pnt	directAnnotation	gene is directly annotated	ENCFF013PDC	ENCFF013PDC	ENCFF013PDC	chip	2.0	pnt	0	None	None	1	None	None
ENCFF508BVS	kmg	directAnnotation	gene is directly annotated	ENCFF508BVS	ENCFF508BVS	ENCFF508BVS	chip	2.0	kmg	0	None	None	1	None	None
ENCFF560OIN	kmg	directAnnotation	gene is directly annotated	ENCFF560OIN	ENCFF560OIN	ENCFF560OIN	chip	2.0	kmg	0	None	None	1	None	None
ENCFF819BQU	kmg	directAnnotation	gene is directly annotated	ENCFF819BQU	ENCFF819BQU	ENCFF819BQU	chip	2.0	kmg	0	None	None	1	None	None
ENCFF566ILH	chn	directAnnotation	gene is directly annotated	ENCFF566ILH	ENCFF566ILH	ENCFF566ILH	chip	2.0	chn	0	None	None	1	None	None
ENCFF512SKM	chn	directAnnotation	gene is directly annotated	ENCFF512SKM	ENCFF512SKM	ENCFF512SKM	chip	2.0	chn	0	None	None	1	None	None
ENCFF407ETB	chn	directAnnotation	gene is directly annotated	ENCFF407ETB	ENCFF407ETB	ENCFF407ETB	chip	2.0	chn	0	None	None	1	None	None
ENCFF254RTJ	CG12744	directAnnotation	gene is directly annotated	ENCFF254RTJ	ENCFF254RTJ	ENCFF254RTJ	chip	2.0	CG12744	0	None	None	1	None	None
ENCFF253LGR	CG12744	directAnnotation	gene is directly annotated	ENCFF253LGR	ENCFF253LGR	ENCFF253LGR	chip	2.0	CG12744	0	None	None	1	None	None
ENCFF075HME	CG12744	directAnnotation	gene is directly annotated	ENCFF075HME	ENCFF075HME	ENCFF075HME	chip	2.0	CG12744	0	None	None	1	None	None
